0.00E+00	0.003688	-0.092392
5.00E-05	0.003696	-0.092081
1.00E-04	0.003704	-0.092503
0.03655		-0.003366	-0.092865
0.0366		-0.003405	-0.092727
0.03665		-0.003382	-0.09282
0.0367		-0.003408	-0.092746
0.03675		-0.003444	-0.092809
0.0368		-0.003435	-0.09272
0.03685		-0.00344	-0.092716
0.0369		-0.003386	-0.092746
0.03695		-0.003545	-0.092221
0.037		-0.002953	-0.083651
0.03705		-0.00026	-0.079473
0.0371		0.000478	-0.079408
0.03715		0.0006	-0.078924
0.0372		0.000585	-0.079243
0.03725		0.000548	-0.078946
0.0373		0.000559	-0.079241
0.03735		0.000576	-0.078848
0.0374		0.000614	-0.079171
0.03745		0.000621	-0.078709
0.0375		0.00065	-0.079285
0.03755		0.000676	-0.078532
0.0376		0.000568	-0.079809
0.03765		0.000646	-0.072942
0.0377		-0.000524	-0.061683
0.03775		-0.001224	-0.060505
0.0378		-0.001264	-0.059844
0.03785		-0.0013	-0.060077
0.0379		-0.001238	-0.059951
0.03795		-0.0013	-0.060006
0.038		-0.001293	-0.059984
0.03805		-0.0013	-0.05992
0.0381		-0.001337	-0.059998
0.03815		-0.00132	-0.059721
0.0382		-0.001346	-0.060153
0.03825		-0.001287	-0.059288
0.0383		-0.001423	-0.063488
0.03835		-0.000805	-0.080242
0.0384		0.000374	-0.08422
0.03845		0.000533	-0.084974
0.0385		0.000609	-0.0849
0.03855		0.000568	-0.085061
0.0386		0.000547	-0.084983
0.03865		0.000568	-0.085065
0.0387		0.000633	-0.085002
0.03875		0.000614	-0.085002
0.0388		0.000581	-0.08487
0.03885		0.000647	-0.084865
0.0389		0.000595	-0.084948
0.03895		0.000613	-0.084556
0.039		0.000404	-0.079784
0.03905		-0.000151	-0.077815
0.0391		-0.000239	-0.077643
0.03915		-0.000284	-0.07763
0.0392		-0.000274	-0.077576
0.03925		-0.000291	-0.077537
0.0393		-0.000345	-0.077538
0.03935		-0.000308	-0.077514
0.0394		-0.000293	-0.077484
0.03945		-0.000291	-0.07757
0.0395		-0.000282	-0.077425
0.03955		-0.000291	-0.077537
0.0396		-0.000303	-0.077639
0.03965		-2.19E-05	-0.082317
0.0397		0.003322	-0.08447
0.03975		0.004732	-0.084677
0.0398		0.00486	-0.084682
0.03985		0.004889	-0.084734
0.0399		0.00485	-0.084593
0.03995		0.004904	-0.084841
0.04		0.004861	-0.08454
0.04005		0.004824	-0.084922
0.0401		0.004846	-0.084414
0.04015		0.004827	-0.08507
0.0402		0.004856	-0.084012
0.04025		0.004885	-0.08579
0.0403		0.004949	-0.07407
0.04035		0.004409	-0.059041
0.0404		0.003781	-0.058166
0.04045		0.003812	-0.056947
0.0405		0.003689	-0.057584
0.04055		0.003688	-0.057087
0.0406		0.003697	-0.057442
0.04065		0.003666	-0.05713
0.0407		0.003711	-0.057309
0.04075		0.003717	-0.057113
0.0408		0.003659	-0.057245
0.04085		0.003765	-0.057245
0.0409		0.003673	-0.057242
0.04095		0.003913	-0.057722
0.041		0.002864	-0.061946
0.04105		0.000946	-0.063189
0.0411		0.000722	-0.063377
0.04115		0.000607	-0.063373
0.0412		0.000603	-0.063446
0.04125		0.000569	-0.063343
0.0413		0.000588	-0.063398
0.04135		0.000583	-0.063325
0.0414		0.000599	-0.063457
0.04145		0.000669	-0.063298
0.0415		0.000585	-0.063422
0.04155		0.00061	-0.063285
0.0416		0.000532	-0.06282
0.04165		0.000812	-0.052603
0.0417		0.002203	-0.048031
0.04175		0.00259	-0.047628
0.0418		0.002769	-0.047539
0.04185		0.002665	-0.047455
0.0419		0.002772	-0.047561
0.04195		0.002724	-0.047339
0.042		0.002686	-0.047558
0.04205		0.002675	-0.047187
0.0421		0.002631	-0.047705
0.04215		0.002644	-0.046956
0.0422		0.002676	-0.048016
0.04225		0.002664	-0.046243
0.0423		0.002714	-0.055921
0.04235		0.001446	-0.070533
0.0424		0.000646	-0.071837
0.04245		0.0006	-0.072769
0.0425		0.000643	-0.072568
0.04255		0.000684	-0.072662
0.0426		0.000658	-0.072735
0.04265		0.00062	-0.072542
0.0427		0.000637	-0.072912
0.04275		0.000589	-0.072274
0.0428		0.00065	-0.073115
0.04285		0.000648	-0.071712
